alphabet,longueur_mots,implementation,temps_execution,nb_occurrences
2,5-15,matrice,0.0665832,1790905
2,5-15,hachage,0.161351,1790905
2,15-30,matrice,0.0708294,1890
2,15-30,hachage,0.405021,1890
2,30-60,matrice,0.0737383,0
2,30-60,hachage,1.49388,0
4,5-15,matrice,0.0508597,65509
4,5-15,hachage,0.1578,65509
4,15-30,matrice,0.0560226,0
4,15-30,hachage,0.414265,0
4,30-60,matrice,0.0547056,0
4,30-60,hachage,1.40208,0
20,5-15,matrice,0.02722,12
20,5-15,hachage,0.120346,12
20,15-30,matrice,0.0266259,0
20,15-30,hachage,0.4196,0
20,30-60,matrice,0.0240455,0
20,30-60,hachage,1.489,0
70,5-15,matrice,0.0251114,0
70,5-15,hachage,0.109997,0
70,15-30,matrice,0.0229881,0
70,15-30,hachage,0.372179,0
70,30-60,matrice,0.0278807,0
70,30-60,hachage,1.35159,0
